LongDiscipline,Discipline,SubDiscipline,Title,r-e,CourseDescription,Credits,Trimester,Term,Grade Level,Prerequisites,Modality
English- Modern and Contemporary Literature,1,Modern and Contemporary Literature,"Modernist Literature, Film and Music",E,"This course engages students in the study of literature and other arts in the United States during the high Modern period (World War I through the 1950s). During this period the general sense of cultural dissolution produced a desire to destroy older, established forms of artistic expression, thus giving rise to a modern ?renaissance??the molding of a new artistic consciousness. The course encourages students to examine the connections made through and by the literature, film and music of the period, critically extending their understanding of the ramifications of a brief period of time through to the perception of that time today. Major authors include a selection from the following: Kerouac, Hansberry, Ginsberg, and Chandler.",1,1,T,12,,
English- Modern and Contemporary Literature,1,Modern and Contemporary Literature,Critical Practices: Studies in Literature and the Natural Environment ,E,"This course focuses on the tradition of environmental literature in America and contemporary critical and literary texts. Lawrence Buell, a major theorist in ?eco-criticism,? describes his critical practice as one that relies on the notion of individual and societal accountability to the natural environment as a pressing ethical concern for contemporary society. Major authors include: Emerson, Thoreau, and Whitman (selected essays and poetry); Emily Dickinson (selected poetry); Rachel Carson, Leslie Marmon Silko.",1,1,T,12,,
English- Modern and Contemporary Literature,1,Modern and Contemporary Literature,Postmodern Theory and Literature,E,"This course is a critical exploration of major cultural and arts ideology of the past thirty years, with an emphasis on science fiction (or, as it?s sometimes called, ?speculative fiction?). Students explore this cultural-aesthetic movement called Postmodernism, one fraught with fragmentation and ambiguity. Familiarity with postmodernism prepares students to address it in various college-level frameworks. Authors and philosophers studied include: Thomas Pynchon, William Gibson, Neil Stephenson, Jacque Derrida, Jean-Francois Lyotard, and Jean Baudrillard.",1,1,T,12,,
Fine and Performing Arts- Theater,6,Theater,Stagecraft,E,"This fundamental technical theatre course teaches basic set design and construction, as well as light design concepts. Topics include how to use a theatre shop, simple construction techniques, fundamentals of theatre design, fundamentals of light design, and identifying sound, prop, costume and make-up needs for productions. ",1,1,T,9-12,,
Fine and Performing Arts- Theater,6,Theater,Acting 1,E,"This course examines how actors develop a character using the basic actor?s tools?physical, vocal, observational, textual, along with input from the director. Students analyze the meaning of the play, and how their character contributes to conveying the play?s message to the audience. Monologues and scenes serve as projects for students.",1,1,T,9-12,,
Fine and Performing Arts- Theater,6,Theater,Acting 2,E,"Building on the experience and skills gained in Acting 1, students explore and apply advanced acting technique to plays with elevated texts. Students deepen their understanding of the actor?s tool box by examining and building complex characters in dynamic situations. Continued attention is paid to vocal work, body awareness, textual analysis, and working as an ensemble. Students present monologues and scene work in a public performance.",1,1,T,9-12,Acting 1,
Fine and Performing Arts- Theater,6,Theater,Original Works,E,"What makes a piece of writing dramatic? What does it take to make engaging original work for the stage? This course focuses on the theater-maker as ?creator.? Students examine how contemporary theater-makers have created new work for the stage and apply what they learned to build their own original work. Class projects include composing and performing original monologues, using existing source material to build new work, and creating an original 10-minute play or performance piece.",1,1,T,9-12,,
Fine and Performing Arts- Theater,6,Theater,Directing 1,E,"This advanced theatre course provides 11th and 12th grade students an opportunity to assume a creative position of leadership in theatre. Aÿcourse in Directing is a ?capstone? course for any theatre program, as it culminates in a student-directed production of a short theater piece.",1,1,T,11-12,"Two previous US Theatre courses (Acting 1, Acting 2, Original Works, Stagecraft) or 10th Graders by Discipline Faculty Approval",
Fine and Performing Arts- Music,6,Music,Upper School Choir,E,"This course examines the musical world of choral singing and explores the human voice and its collective sound. In this course students discover the fun of singing by developing healthy vocal technique, learning to sight-sing, and considering the influence of music in their lives. Musical selections encompass a wide range of languages and traditions, including classical, contemporary, folk, Broadway and multicultural music. The course culminates in three public performances. No experience is necessary and students of any skill level are welcome.",1,1,T,9-12,This course may be taken in multiple trimesters for credit,
Fine and Performing Arts- Music,6,Music,Instrumental Music Ensemble,E,"The Instrumental Music Ensemble explores music through rehearsal and performance on a traditional band or orchestra instrument. Students develop skills by learning and practicing basic techniques such as posture, breathing, and instrument technique. Students learn the basics of music theory such as note reading and rhythm work. Learning goes beyond the page and creates a moving experience for the player and the listener. This class will culminates with a performance at the end of each term.",3,3,Y,5-12,This course may be taken in multiple trimesters for credit,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Art Meets Science,E,"This visual art course explores various 2 and 3-dimensional techniques of combining materials. In addition to developing the aesthetic realm, students investigate the role of science in artistic processes and in the creation and use of materials. Students use a wide range of materials such as, wire, plaster cloth, clay, papers, Polaroid film, batteries, fused glass, clay, wood, and recycled objects to make unique artwork. Creative expression and problem-solving skills are employed in each project.",1,1,T,9-12,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Mixed Media ,E,"In this course, students make a variety of sculptural forms using materials such as wire, plaster cloth, clay, recycled, and found objects. Students learn art techniques and build visual art skills by using a wide range of tools and materials. Coursework emphasizes creative thinking and problem-solving skills to initiate the creative process.",1,1,T,9-12,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Perspective Drawing,E,This drawing course introduces perspective drawing techniques. Students use specific technical drawing exercises each day to build perspective drawing skills and to create a variety of images in landscape and interior settings. A wide range of imagery from everyday life is used in order to understand how perspective rules apply to everything students see and to enable them to draw realistic images.,1,1,T,9-12,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Drawing/Painting,E,"This course explores different historical and contemporary styles and techniques of drawing and painting. These styles and techniques are important in learning the aspects of 2-dimensional art creation. Using a variety of materials and surfaces, students apply art elements of design and composition (line, space, texture, form, and color) to create personal expressions in visual communication.",1,1,T,9-12,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Advanced Drawing/Painting,E,"Lessons in this course are geared to each student?s individual drawing experience. Different historical and contemporary styles and techniques of drawing and painting are explored. Using a variety of materials and surfaces, students develop stronger technical skills and apply the art elements of design and composition (line, space, texture, form, and color) to create unique works of visual art.",1,1,T,9-12,Drawing/Painting ,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Digital Reality 1: Basic Image Editing/Filmmaking ,E,"This course focuses on the basics of film-editing using the software Adobe Premiere Elements. Students also learn basic lighting techniques, interview styles and how to use a camcorder. Combining both moving and still-images, a short film is created including audio/music, titles, and voice-overs.",1,1,T,9-12,,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Digital Reality 2: Advanced Image Editing/Filmmaking ,E,"This course focuses on intermediate to advanced film-editing techniques using the software Adobe Premiere Elements. Students pursue in-depth techniques of using a camcorder, lighting and setting up specific scenes, and combining both moving and still images to create a unique short film. They also work with audio/music, titles, and voice-overs to enhance their film, and to save it in different formats.ÿ",1,1,T,9-12,Digital Reality 1,
Fine and Performing Arts- Visual Arts,6,Visual Arts,Graphic Design,E,"Graphic design permeates our lives, surrounding us with products and publications that combine text and images to convey ideas. In this course, visual art is created using traditional art techniques and the digital tools of Adobe Photoshop and Microsoft Publisher. Examples from publications, artwork, and videos, help students expand their understanding of graphic design, and how its use has evolved over time. Each project in this course enables students to create forms of visual communication by using their original art and digitizing it for use in poster, brochure, flyer, and CD cover formats.",1,1,T,9-12,,
Mathematics,3,,Algebra 2,R,"Students deepen their knowledge of content learned in Algebra I and explore more complex material. The investigative approach remains integral to this course, and developing problem-solving skills is a central goal in each topic area. Topics covered include functions, transformations, matrices, quadratics, conic sections, exponents, logarithms, introductory trigonometry.",3,3,Y,9-12,Geometry or Discipline Faculty Approval,
Mathematics,3,,Pre-Calculus,E,"Pre-Calculus builds on topics explored in Algebra 2. Polynomial, rational, exponential and logarithmic functions are studied in detail and linear systems and matrices are explored in more depth--with a focus on manual rather than calculator-based solution. Students are introduced to trigonometry in all four quadrants. Analytic trigonometry including solution of triangles, trigonometric equations and identities is covered in detail.",3,3,Y,9-12,"Geometry, Algebra 2",
Mathematics,3,,Calculus,E,"Students are introduced to the fundamental principles of calculus, beginning with the relationship to limits and continuing with an exploration of the key concepts of differentiation and integration. Applications of these principles include: related rates, optimization, area beneath a curve and volumes of revolution. The course concludes with an introduction to differential equations. While not an AP course, the syllabus includes similar topics and can prepare students to take the AP Calculus AB exam in May of each year.",3,3,Y,9-12,Pre-Calculus,
Mathematics,3,,Advanced Calculus,E,"Coursework expands on topics covered in Calculus, while also exploring applications of calculus to other coordinate systems. Topics covered include: integration by parts, the method of partial fractions, improper integrals and Infinite series including Taylor series. Alternate coordinate systems and vector-valued functions are studied extensively. The course concludes with a detailed investigation of the behavior of 3-Dimensional functions through multivariable calculus, including differentiation, rates of change and optimization of 3-Dimensional functions. Coursework can prepare interested students for the BC level AP Calculus exam.",3,3,Y,11-12,Calculus,
Mathematics,3,,Statistics,E,"This course consists of three parts. The first part focuse on probability and prediction. Students look at the relationship between intuition and probability and investigate coincidence. Part Two examines the pros and cons of various statistical representations. The third portion of the course focuses on the practical applications of probability and statistics, investigating such topics as financial risk management, deciding who should win an election and how to divide scarce resources fairly.",3,3,Y,11-12,Algebra 2,
Physical Education ,7,,Physical Education ,R,"This Upper School physical education course focuses on sports and fitness with an emphasis on promoting life-long training and overall health. Classes cover two aspects of physical awareness: 1) strength and agility; and 2) cardiovascular fitness through cooperative team sports, personal fitness design, and advanced age-appropriate fitness activities.ÿ",1,1,T,9-12,This course may be taken in multiple trimesters for credit,
Physical Education ,7,,PE Wellness,R,"Coursework examines important issues facing Upper School students, and includes units on nutrition, drugs and alcohol, and sexuality. This course is largely discussion-based, and each unit uses materials and activities focused on making positive choices as a teenager and later as an adult. ",1,1,T,9-12,Students are required to meet one of their six Upper School PE credits with this class,
Physical Education ,7,,PE Dance and Conditioning: Flamenco,E,"This movement class provides training for dance of all kinds, and specifically, for Flamenco--a traditional and very alive Spanish art form. Students improve overall strength, elegance and balance, without using equipment. Specific posture, technique, and choreography for flamenco dance are explored. This is a great introduction to dance for both males and females (no experience necessary), while also offering a challenge to seasoned dancers. Trimester culminates with an ensemble performance.ÿ",1,1,T,9-12,This course may be taken in multiple trimesters for credit,
Physical Education ,7,,PE Yoga,E,"This course focuses on yoga practice through experience of physical postures. Themes of lifelong health and wellness, along with connections to Eastern philosophies/religions, accompany physical instruction. This is an all-levels class where students learn the basics of yoga and expand their practice in a safe and supportive environment. Course program guides students to: 1) increase flexibility, 2) strengthen muscles, 3) coordinate movement with breath; and 4) deepen awareness of the mind-body connection.ÿ",1,1,T,9-12,This course may be taken in multiple trimesters for credit,
Science,4,,Biology,R,"This lab-based science course builds on students? existing knowledge of life science. Students examine the question, ?What does it mean to be alive?? In so doing, they develop a foundational understanding of how energy and matter cycle through living systems and how science evolves with the advent of new understanding and technology. The Theory of Evolution is presented as a central unifying theme of biology. This lens allows for a more thorough understanding of a range of topics from biodiversity and heredity to antibiotic-resistant bacteria and drug development. Students learn to use some basic tools of biotechnology by conducting such procedures as polymerase chain reaction (PCR), ?DNA Fingerprinting? and genetic modification of bacteria. They will also learn to use tools from the emerging field of bioinformatics. While the course will serve as a strong foundation for students who pursue academic careers in science, it also provides essential understanding for healthy and well-informed citizens, living in an era of unprecedented, and often controversial, advances in the life sciences. Throughout the year, students will grapple with the ethical issues that arise from these developments and reflect upon the role of science in society.ÿ",3,3,Y,9,Required at Grade 9 starting in the 2013-14 school year,
Science,4,,Chemistry,R,"This hands-on course explores the structure and behavior matter and its interaction with energy. Students will examine matter on an atomic and subatomic level and then apply this knowledge to explain phenomena they observe during experiments. Major concepts such as atomic structure, bonding, stoichiometry and nuclear chemistry will be explored using a mixture inquiry-based activities, projects and experiments. Students will also apply concepts they have learned in earlier math and science classes.",3,3,Y,10,Conceptual Physics or Biology,
Science,4,,Biology,R,"In this lab-based course students apply their understanding of chemistry to investigate metabolic processes, heredity and evolution at the molecular level. Students will develop lab skills that will prepare them for internships in university or research laboratories by employing such procedures as polymerase chain reaction (PCR), ?DNA Fingerprinting? and genetic modification of bacteria. They will also learn to use tools from the emerging field of bioinformatics. While the course will serve as a strong foundation for students who pursue academic careers in science, it also provides essential understanding for healthy and well-informed citizens, living in an era of unprecedented, and often controversial, advances in the life sciences. Throughout the year, students will grapple with the ethical issues that arise from these developments and reflect upon the role of science in society.ÿ",3,3,Y,11,Conceptual Physics or Chemistry  Required at Grade 11 through the 2013-14 and 2014-15 school years,
Science,4,,Physics,R,"Physics is an inquiry-based course in which students are asked to find and explore patterns in the most fundamental behaviors of matter and energy. Student create and deploy models of motion, forces, energy, wave mechanics, and electromagnetism. In addition to developing a solid conceptual understanding of physical phenomena, students hone their skills in creating visual and mathematical models through lab activities that are increasingly self-directed. Students then apply these models to engineering design projects such as the construction of musical instruments and Arduino-based environmental sensors.",3,3,Y,11,Required at Grade 11 starting in the 2015-2016 school year,
Science- Advanced Sciences,4,Advanced Sciences,Advanced Biology Topics in Human Biology and Biotechnology,e,"Building on foundations from chemistry and general biology, this course focuses on human health, medical science and biotechnology. Students develop a more sophisticated understanding of how homeostasis is maintained through interactions of the human body systems. Investigation of specific applications of science in the diagnosis and treatment of human disease and injury is also engaged. CPR and First Aid training accompany a survey of anatomy and physiology. Numerous opportunities are provided to refine and expand laboratory techniques and skills sought after in university research labs and the biotech field.ÿ",3,3,Y,11-12,Biology and Chemistry,
Science- Advanced Sciences,4,Advanced Sciences,Advanced Physics,e,"Why do things happen the way that they do? What misconceptions about the world exist in my mind?ÿIn this course, students use observation, physical laws and mathematics to develop a more sophisticated worldview. Occasional diversions are taken into just how strange the universe actually is when viewed outside of the human scale (both very large and very small). Students make sophisticated, accurate, and confident predictions about physical interactions and observe everyday phenomena with refreshed curiosity. The course primarily covers Newtonian mechanics (force, motion, momentum, energy, rotational dynamics and simple harmonic motion); upon completion of that material other topics in physics such as sound, optics, relativity and quantum mechanics are selected--in part based on interest of enrolled students. Concepts and tools are used regularly with a focus on problem solving. While not labeled an AP course, Advanced Physics can prepare student for the AP Physics Mechanics C test.",3,3,Y,9-12,Discipline Faculty Approval (Co-requisite: Calculus),
Science- Environmental Sciences,4,Environmental Sciences,Environmental Science 1: GeoScience,e,"This course investigates soil, environmental geology and earth resources, and solid and hazardous waste. Field and laboratory exercises include: investigating local soils, sampling soils and soil water, and analyzing them for physical and chemical characteristics. Collections and analyses conform to the GLOBE environmental monitoring protocol for sharing in the world-wide database.",1,1,T,12,,
Science- Environmental Sciences,4,Environmental Sciences,Environmental Science 2: Air and Energy,e,"The course deals with the anthropogenic influence on the atmosphere, and in particular, use of fossil fuels (and alternatives to them). Changes in composition of the atmosphere due to pollutants are evaluated in regard to impact to global climate change. Evaluation of climate parameters includes direct measurement (using the GLOBE protocols), as well as the data and curriculum associated with the WeatherBug Station. The course includes a trimester-long project.",1,1,T,12,,
Science- Environmental Sciences,4,Environmental Sciences,Environmental Science 3: Sustainability,e,"This course studies water supply and quality, and treatment of wastewaters. Field and laboratory exercises include fresh and polluted water with analysis for chemical and biological characteristics. Collections and analysis conform to the GLOBE environmental monitoring protocol. The course includes a trimester-long project.",1,1,T,12,,
Social Science/History- Historical Foundations (Fall),2,Historical Foundations (Fall),Prehistory: Building Blocks of Civilization,E,"(1.5 MYA-900 CE)ÿHumans and their immediate ancestors appeared 100,000 to 200,000 years ago and have gathered themselves into social groups for almost as long. The history of human civilization, however, stretches back only a little more than 5,000 years. This course addresses the vast expanse of time between the emergence of humans and the rise of civilization?Prehistory. Course topics focus on the development of technological, cultural, political, and economic features that characterize ?civilized? human societies, and includes explorations of the origins of early Mesoamerican, Mesopotamian, Ancient Chinese, and Aboriginal Australian cultures. Paired and integrated withÿAncient Poetry: The Oldest Literature.",1,1,T,9-10,Paired and Integrated with Ancient Poetry: The Oldest Literature,
Social Science/History- Historical Foundations (Fall),2,Historical Foundations (Fall),The Historical Formation of Latin American Identity,E,"(900-1950 CE)ÿFrom the early Aztec and Mayan civilizations to contemporary nation-states, the identities of Latin American peoples evolved along multiple paths. Content in this course focuses on cultural elements unique to the peoples of Central and South America, and on the impact of transculturation from the time of first contact with European explorers and settlers to the modern day. Course topics include: the relationship between the indigenous, Spanish, and emergent mestizo culture as connected to the Catholic encomienda system; the roots of Spanish nationalism; Latin American independence movements. Paired and integrated withÿMedieval Era: Latin American Literature.",1,1,T,9-10,Paired and Integrated with Medieval Era: Latin American Literature,
Social Science/History- Historical Foundations (Fall),2,Historical Foundations (Fall),Medieval Era: Europe in Transition,E,"(300-1400 CE)ÿCoined by the intelligentsia of the Renaissance, the term ?medieval? suggests a cultural ebb between two great waves of change and development; yet this period saw the emergence of many of the European political, religious and economic institutions that influence the world today. Students examine the fall of Rome, life in the Dark Ages, the rise of the Catholic Church, and European monarchies. The period is examined by employing both the most recent scholarship on the era and primary source documents contemporary to the time. Paired and integrated withÿMedieval Era: Literary Foundation.",1,1,T,9-10,Paired and Integrated with Medieval Era: Literary Foundation ,
Social Science/History- Western History (Winter),2,Western History (Winter),Renaissance: The Cultural Epicenter,E,"(1400-1650 CE)ÿTo shape and make sense of our past, historians feel compelled to divide it into time periods, each given a name that epitomizes the spirit of the era. First used by the French historian Jules Michelet in 1858, ?Renaissance? (or rebirth) describes the period of transition between the medieval epoch, when Europe was ?Christendom,? and the beginning of the Modern Age. Exploration in this course considers the specific advances and revolutions in thought that define the Renaissance period, with special focus placed on art history. Paired and integrated withÿShakespeare.",1,1,T,9-10,Paired and Integrated with Shakespeare,
Social Science/History- Western History (Winter),2,Western History (Winter),Revolutions in Thought: Enlightenment to Industrial Revolution,E,"(1650-1850 CE)ÿThe 18th and 19th centuries were revolutionary periods that saw the rise of social, political, and economic movements that continue to impact the world today. Investigation in this course examines revolutions in thought beginning with the Scientific Revolution and Enlightenment, and continuing through the French and Industrial Revolutions. Students examine Kuhn?s concept of Paradigm Shift and Briton?s Anatomy of Revolution.Paired and integrated withÿRevolutions in Thought: 19th Century British Literature.",1,1,T,9-10,Paired and Integrated with Revolutions in Thought: 19th Century British Literature,
Social Science/History- Western History (Winter),2,Western History (Winter),Modern Perspectives: Ideologies in Practice,E,"(1848-1945 CE)ÿFrom the publication of the Communist Manifesto to the rise of Nationalist movements, European history is marked by the testing of a myriad of competing ideologies championed by individuals, groups, and nation-states. Study in this course traces the roots of modernity by investigating the economic and political philosophies that arose in the late 19th and early 20th centuries in Europe, including capitalism, communism, nationalism and fascism. These topics are studied in the context of World War I, the Russian Revolution, World War II and the emergence of the European Union. Paired and integrated withÿModern Perspectives: 19th/20th Century European Literature.",1,1,T,9-10,Paired and Integrated with Modern Perspectives: 19th/20th Century European Literature,
Social Science/History- Modern Global History (Spring),2,Modern Global History (Spring),Modern Asian History,E,"(1868 CE-Present)ÿThe histories of China, Japan and other Asian nations evidence some of the most ancient and rigidly structured cultural systems in human history. Many argue that departures from these same cultural structures are the driving force behind recent economic and political development. Subject matter in this course explores the history of Asia, and perhaps more importantly, considers questions regarding these countries? future trajectories. Focusing on the post-WWI time period, analyses in this course consider the complex interplay between economic development and cultural preservation. Paired and integrated withÿModern Asian Literature and Film.",1,1,T,9-10,Paired and Integrated with Modern Asian Literature and Film,
Social Science/History- Modern Global History (Spring),2,Modern Global History (Spring),Modern African History ,E,"(1800 CE-Present)ÿAt the Conference of Berlin in 1885, European powers staked claims to virtually the entire continent of Africa. European leaders used maps to divide the continent describing vast areas as terra incognita, and drew arbitrary boundaries with little regard for the myriad of traditional monarchies, ethnicities, and social structures that existed within those borders. Work within this course explores the motivations of the European powers in the context of the colonization of Africa, and the subsequent effects of imperialism on modern African states. Case studies include the Democratic Republic of Congo and South Africa. Paired and integrated withÿModern African Literature.",1,1,T,9-10,Paired and Integrated with Modern African Literature ,
Social Science/History- Modern Global History (Spring),2,Modern Global History (Spring),The Modern Middle East,E,"(1917 CE-Present)ÿThe history of the modern Middle East is a reflection of complex relationships between distinct peoples, cultures and religions. Investigation in this course begins with an examination of the origins of Islam, analysis of the modern Zionist movement, and a study of European involvement in the region after WWI. Coursework continues with a discussion of the reorganization of national boundaries by the United Nations following the British withdrawal from the region in the 1940s, and the resulting legacy of contemporary conflict. Finally, heavy focus is put on both the domestic and international significance of the region and its peoples today. Case studies include: the Palestinian-Israeli conflict, the growth of the modern Iraqi state, the Iranian Revolution, and the recent social and political transformations in Egypt. Paired and integrated withÿMiddle-Eastern and Middle-Eastern American Literature.",1,1,T,9-10,Paired and Integrated with Middle-Eastern and Middle-Eastern American Literature ,
Social Science/History- American Studies,2,American Studies,United States History: The American Question,R,"In this course, American democracy is approached as ?a path and a project, not a destination.? From the Colonial Period to the Modern Era, coursework is framed by three streams of history: Autobiographical, Biographical and Cultural. Using historical texts, primary source documents, and literary works from the parallelÿAmerican Literatureÿcourse, the foundational principles of liberty, equality and opportunity are examined in different historical contexts. The first half of the course examines the rights established in the foundational documents, and assesses how the United States is progressing towards its core democratic principles and goals. The second half of the course examines the roles of leadership, technology, and media in the contemporary era.",3,3,Y,11,,
Social Science/History- Political Science and Economics,2,Political Science and Economics,Comparative Government,e,"Since the beginning of human history, with the development of communal living, humans have constructed, maintained and dismantled countless forms and functions of government. Study in this course analyzes various forms of international governmental and economic organization, including totalitarianism, communism, constitutional monarchy, democracy (republicanism), democratic Socialism, and fascism. More abstract constructs of political theory are also investigated including individualism, egalitarianism, and utopianism. Course work asks students to focus on the question: What is the role of the individual in a corporate society? This course is designed to educate and empower the next voting constituency of our country.",1,1,T,12,,
Social Science/History- Political Science and Economics,2,Political Science and Economics,The Economics of Development,e,"Perspectives of economically developing countries are explored, using concrete, empirical data and case studies to illustrate economic concepts, patterns of human development, including growth and resource use. Course topics include: inequality and poverty, population, education, investment, productivity, growth, foreign aid, fiscal policy, production trade and sustainable vs. non-sustainable industrial development, foreign debt and financial crises. Coursework focuses on the questions:ÿ?How does modern technology fuel global economic development??ÿandÿ?What role should foreign aid and foreign investment play in nascent national economies??ÿStudent-driven seminars are a core component of this course.",1,1,T,12,,
Social Science/History- Political Science and Economics,2,Political Science and Economics,International Relations,e,"(1938-Present)ÿWhile the 20th century is often dubbed the American Century, the first decade of the 21st century has seen an increase in globalism and a ?flattening? of the world. In this course students: explore the role the United States has played in modern global history and contemporary global policy, and attempt to predict its future role in international relations. Through seminar and simulation students gain insight into the processes of foreign policy and diplomacy. Topics include: the Cold War, and the functions of the International Monetary Fund, the World Bank, and the United Nations. Students culminate their experience by playing the role of a United Nations delegate in a model UN Security Council simulation.",1,1,T,12,,
Social Science/History- Political Science and Economics,2,Political Science and Economics,Democratic Theories and Civic Practices,e,"The origins of democracy trace back to the city-states of ancient Greece. At that time, democracy meant simply ?rule of the citizens? (the demos), and was designed to allow citizens to have a voice in decisions that would affect all. Since its inception, democratic theory and its practical applications have evolved significantly. Coursework establishes the foundations of democratic theory, investigating its origins from the 5th century BCE to its resurgence in the early-modern political theory of thinkers like John Locke, Thomas Hobbes and Alexis deTocqueville. From this foundation analysis shifts to contemporary challenges to democratic values in the United States. Course topics include theories of direct, deliberative, and distributive democracy. A democratic philosophy and systemic model for later civic action is a culminating project for each student. In national election years specific attention is given to the American electoral process and party politics.",1,1,T,12,,
Social Science/History- Political Science and Economics,2,Political Science and Economics,Jurisprudence: The History of Legal Precedent in the United States,e,"Jurisprudence is the philosophy and science of the law.ÿ Exploration in this course focuses on source and justification of the law, its scope and function in the human history, and contemporary legal frameworks in the United States. Topics include classic U.S. Supreme Court cases includingÿPlessy vs. Ferguson, Gideon vs. Wainwright, andÿBrown vs. Board of Education. The purpose of this course is the creation and empowerment of informed citizens who are fully aware of both the rights and responsibilities granted them by the Constitution of the United States.",1,1,T,12,,
Social Science/History- Political Science and Economics,2,Political Science and Economics,"Public Policy: Race, Class, Gender and the Environment",e,"The lenses of Race, Class, Gender and the Environment are employed to investigate the underlying values and impacts of public policy on particular segments of American society. Policy topics may include: education, immigration, transportation, healthcare or environmental justice. Where possible, this course focuses on local public policy in the Seattle-area. The culminating project requires students to advocate for a policy position of their choice on the local or national level. The roles of citizen and political leader are examined by employing the concept of competing goods within the public policy realm.",1,1,T,12,,
Spanish,5,,Spanish 3,R,"This course builds on the foundation acquired in Spanish 1 and 2, reviewing concepts already studied while adding new grammar, vocabulary and cultural information to accommodate the understanding of the Spanish-speaking world. Although students practice all skills (reading, writing, listening and speaking), oral communication is stressed during class time. Students are encouraged to speak only Spanish and engage in a variety of activities in class to practice. Units 1-5 of ­Avancemos! 3 are covered, as well as other materials that may include books, magazines, film or other media. Main themes are camping activities, volunteer work, environmental issues, professions, travel and technology. New grammar topics include: future tense, present subjunctive, commands, and conditional tense.ÿ",3,3,Y,9-12,Spanish 2 or Discipline Faculty Approval ,
Spanish,5,,Spanish 4,E,"This fast-paced, college-prep class presents themes and language topics commonly included in a second-year Spanish college course and serves as a transition to content-based Spanish classes. Throughout the year students explore and discuss themes such as stereotypes, the human community, customs and traditions, the family, demography, geography, technology, and gender in today?s world. The ability to use Spanish is improved through cultural readings, short stories and film. The main grammar points introduced in Spanish 1-3 are reviewed and students engage in deeper analysis of grammatical patterns. Grammar topics include: nouns and adjectives, all indicative mood tenses, some subjunctive mood tenses and their uses, sequence of object pronouns, relative pronouns, imperative, and positive, negative and indefinite expressions. Spanish is the language of classroom interaction and instruction. Chapters 1-6 ofÿPasajesÿare covered.",3,3,Y,9-12,Spanish 3 or Discipline Faculty Approval ,
Spanish,5,,Advanced Spanish: Language,E,"The study of the language is continued by building upon the content and skills learned inÿSpanish 4. This fast-paced, college-prep class also presents themes and language topics commonly included in a second-year college Spanish course. Media, literature, film and cultural readings in the target language are incorporated. The themes explored in the class are universal and encourage students to make connections between their own culture and the Spanish-speaking world. Topics include: the business world, beliefs and ideologies, Hispanics in the US, modern life, law and individual freedom, work and free time. A new layer of complexity is added to grammar topics and these include: a review of past indicative mood tenses, more tenses and uses of the subjunctive mood, prepositions, conjunctions, passive voice, special uses of future and conditional, sequence of tenses. Spanish is the language of classroom interaction and instruction. Chapters 7-12 ofÿPasajesÿare covered. Students may choose to prepare for and take the AP Spanish Language exam in the spring, though this course is not designed specifically for exam preparation.",3,3,Y,11-12,Spanish 4 or Discipline Faculty Approval ,
Spanish,5,,Advanced Spanish: Literature,E,"In this course students engage in critical analysis of literary works in Spanish including poetry, prose and drama. Coursework includes readings, in-class discussions, papers and presentations. Art, film, media and cultural studies are included as they relate to the literary pieces students study. Grammar review and practice is provided as needed. Students may choose to prepare for and take the AP Spanish Literature exam in the spring, though this course is not designed specifically for exam preparation.ÿ",3,3,Y,11-12,Advanced Spanish: Language. Seniors who have completed Spanish 4 may request Discipline Faculty Approval ,
Electives- Communications & Media,8,Communications & Media,Introduction to Public Speaking,e,"Oral communication skills are as vital as written communication skills. This course enhances students? ability to express their creative thought, gives evidence of their ability to act responsibly, better positions them as leaders, and provides a tool to persuade others to consider and accept their wise innovations. Major units covered by the course include: learning a basic communication model, informative speaking, persuasive speaking, impromptu speaking, oration, fundamentals of effective speech structure, effective vocal and physical delivery techniques and the creation and effective use of visual aids.",1,1,T,9-12,,
Electives- Communications & Media,8,Communications & Media,Modern Mythology in American Film ,e,"From the classic and contemporary American Western to the modern-day Disney production, the mythological components of American film are considered in the narratives of our time. In this course activities focus on identification of the formal components of the film-making process and of the critical consumption of contemporary media. A final storyboard project employs modern mythological themes and film-making techniques.",1,1,T,9-12,,
Electives- Communications & Media,8,Communications & Media,Bearing Witness: The Documentary Film and Social Action,e,"Documentary film performs multiple roles as historical chronicler, cultural commentator and social actor in our world. The historical evolution of the documentary film is investigated in depth in this course, along with the medium?s role as a social agent in the contemporary age. Films examined may include but are not limited to:ÿThe Fog of War, Man on Wire, Life and Debt, Hoop Dreams, This Is What Democracy Looks Like, King Corn, Hearts and Minds, and The Thin Blue Line.ÿCoursework focuses on discussion of film in literate and substantive ways, often using testimony from actual documentarians as a model. A short historical inquiry film project is required.",1,1,T,9-12,,
